epsilon_tag,frame_rows,active_token_count_mean,active_token_count_median,sampled_pairs_mean,sampled_pairs_median,read_pair_corr_mean_mean,read_pair_corr_mean_median,write_pair_corr_mean_mean,write_pair_corr_mean_median,read_pair_top_iou_mean_mean,read_pair_top_iou_mean_median,write_pair_top_iou_mean_mean,write_pair_top_iou_mean_median,read_pair_center_distance_mean_mean,read_pair_center_distance_mean_median,write_pair_center_distance_mean_mean,write_pair_center_distance_mean_median,read_pair_distinctness_mean_mean,read_pair_distinctness_mean_median,write_pair_distinctness_mean_mean,write_pair_distinctness_mean_median
eps_003,480,251.25416666666666,256.0,4997.052083333333,5000.0,0.4603898180057866,0.4555423120887725,0.011459950572848732,0.009389605550815297,0.29002747445919985,0.2803548701668137,0.043131676225860366,0.043060044619746586,1.476899822643938,1.4653137022571374,3.3802389046211885,3.3226373432137075,0.5396101819942134,0.5444576879112275,0.9885400494271512,0.9906103944491846
eps_005,480,198.8875,224.0,4830.077083333334,5000.0,0.20517465383188915,0.19996884807079265,0.012155549154187302,0.010391491927788168,0.10549831391680235,0.0984651296304353,0.042649635717032224,0.04243914509211496,2.0327599959285716,2.0018877869582794,3.326471075631237,3.2748074439184656,0.794825346168111,0.8000311519292074,0.9878444508458127,0.9896085080722119
eps_007,480,115.57291666666667,96.0,3725.60625,4560.0,0.13576419265623008,0.13465693151622998,0.011252386021361423,0.010081901103110986,0.07366170124592358,0.06945528203540821,0.04141503841344701,0.041747037300010725,2.414025888434502,2.243058272941263,3.260063096974118,3.2336345411379854,0.8642358073437699,0.86534306848377,0.9887476139786385,0.989918098896889
