section,epsilon,video_id,frame_position,frame_index,latent_index,active_rank,active,halt_probability,description,png_path
temporal,eps_007,video_76,5,439,42,42,True,0.00007601,concentrated near a cup-like spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_042/frame_005.png
temporal,eps_007,video_76,5,439,43,43,True,0.00008098,concentrated near the shirt/t-shirt spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_043/frame_005.png
temporal,eps_007,video_76,5,439,159,159,True,0.59373772,concentrated near a cup-like spatial region when active,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_159/frame_005.png
temporal,eps_007,video_76,6,527,36,36,True,0.00008668,concentrated near the left-cup spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_036/frame_006.png
temporal,eps_007,video_76,6,527,39,39,True,0.00008039,concentrated near a cup-like spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_039/frame_006.png
temporal,eps_007,video_76,6,527,42,42,True,0.00008741,concentrated near a cup-like spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_042/frame_006.png
temporal,eps_007,video_76,6,527,43,43,True,0.00008439,concentrated near the shirt/t-shirt spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_043/frame_006.png
temporal,eps_007,video_76,6,527,159,159,True,0.56155622,concentrated near a cup-like spatial region when active,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_159/frame_006.png
temporal,eps_007,video_76,7,615,36,36,True,0.00007987,concentrated near the left-cup spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_036/frame_007.png
temporal,eps_007,video_76,7,615,39,39,True,0.00008298,concentrated near a cup-like spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_039/frame_007.png
temporal,eps_007,video_76,7,615,42,42,True,0.00008171,concentrated near a cup-like spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_042/frame_007.png
temporal,eps_007,video_76,7,615,43,43,True,0.00008072,concentrated near the shirt/t-shirt spatial region,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_043/frame_007.png
temporal,eps_007,video_76,7,615,159,159,True,0.61317575,concentrated near a cup-like spatial region when active,results/direction1_object_read_attention_v1/attention_heatmaps/temporal/video_76/latent_159/frame_007.png
